,datetime,generation_coal,generation_solar,generation_other_renewable,generation_outsourcing_estimated,demand,predicted
270,2017-04-12 06:00:00,297,33,94,575.3788450000001,951.8705,943.082349530657
271,2017-04-12 07:00:00,297,31,93,579.090295,952.2755,960.4403256335271
272,2017-04-12 08:00:00,299,147,94,617.349949,1106.3761,1104.3023136317468
273,2017-04-12 09:00:00,292,1119,99,0.0,1286.9493,1280.6918677657272
274,2017-04-12 10:00:00,298,2407,97,0.0,1358.5834,1347.2535623307397
275,2017-04-12 11:00:00,302,3464,93,0.0,1434.2339,1422.1772852429335
276,2017-04-12 12:00:00,303,3807,95,0.0,1459.9528,1454.2758895248758
277,2017-04-12 13:00:00,307,3783,100,0.0,1466.6384,1469.1466003750525
278,2017-04-12 14:00:00,307,3683,102,0.0,1486.6855,1473.3921623717936
279,2017-04-12 15:00:00,309,3439,101,0.0,1426.6259,1414.470856115409
280,2017-04-12 16:00:00,296,2619,104,0.0,1459.0653,1469.3617676253457
281,2017-04-12 17:00:00,295,1082,104,0.0,1380.8806,1375.112764536366
282,2017-04-12 18:00:00,294,208,105,709.679053,1258.0817,1267.3838858211977
283,2017-04-12 19:00:00,294,44,105,903.3539590000001,1271.7651,1284.1792130619917
284,2017-04-12 20:00:00,298,38,105,946.0276769999999,1308.9153,1318.7771572228633
285,2017-04-12 21:00:00,301,40,106,923.8342960000001,1294.5544,1305.0752642116786
286,2017-04-12 22:00:00,300,38,99,898.8262080000002,1261.6112,1272.2182210394772
287,2017-04-12 23:00:00,303,30,100,879.3416950000001,1239.7355,1237.344980822333
288,2017-04-13 00:00:00,319,600,114,160.91092300000008,1180.6247,1176.35773808164
289,2017-04-13 01:00:00,320,595,113,97.7471670000001,1117.6763,1118.4457264586008
290,2017-04-13 02:00:00,325,568,113,67.43154200000009,1067.8638,1063.5147301167478
291,2017-04-13 03:00:00,327,532,114,34.23940699999996,1004.4123,1000.56728151194
292,2017-04-13 04:00:00,327,509,112,14.887220000000019,961.658,962.2984083903918
293,2017-04-13 05:00:00,329,298,110,226.096084,944.4276,945.6344531421921
294,2017-04-13 06:00:00,316,156,112,401.6209640000001,952.4596,952.0401924150945
295,2017-04-13 07:00:00,309,99,113,456.544211,939.8479,942.4663890261016
296,2017-04-13 08:00:00,320,511,114,142.40326799999994,1075.6452,1073.7677442890904
297,2017-04-13 09:00:00,321,1732,115,0.0,1201.8662,1205.9851534500772
298,2017-04-13 10:00:00,319,3161,111,0.0,1273.1627,1280.159833381371
299,2017-04-13 11:00:00,316,4021,111,0.0,1335.6234,1348.1230437347558
300,2017-04-13 12:00:00,313,4583,108,0.0,1341.5313,1338.9829937382617
301,2017-04-13 13:00:00,318,4955,110,0.0,1286.5105,1275.4908725983912
302,2017-04-13 14:00:00,311,5025,110,0.0,1269.2342,1264.9154940051585
303,2017-04-13 15:00:00,305,4977,109,0.0,1270.1334,1277.2895280434266
304,2017-04-13 16:00:00,301,4695,108,0.0,1258.7229,1248.9071458365777
305,2017-04-13 17:00:00,304,4153,105,0.0,1221.7934,1210.9595127394516
306,2017-04-13 18:00:00,307,3376,107,0.0,1162.9611,1172.3731246596103
307,2017-04-13 19:00:00,312,2058,109,0.0,1162.971,1157.445340794286
308,2017-04-13 20:00:00,315,867,110,0.0,1214.1017,1224.5598347436849
309,2017-04-13 21:00:00,320,520,110,239.4795399999999,1169.706,1161.0129029449945
310,2017-04-13 22:00:00,319,441,110,287.8663840000001,1134.0976,1128.8594554204099
311,2017-04-13 23:00:00,322,318,110,396.69536300000016,1113.9407,1107.707120057466
312,2017-04-14 00:00:00,323,161,108,517.3743860000002,1066.6554,1057.5510346712579
313,2017-04-14 01:00:00,325,68,106,590.0302980000001,1040.3122,1035.6622430843743
314,2017-04-14 02:00:00,325,27,108,599.6490030000001,1010.1367,1018.0514399953679
315,2017-04-14 03:00:00,326,28,109,562.5721080000001,979.1212,981.3048668485756
316,2017-04-14 04:00:00,325,27,107,538.8938200000001,953.398,950.0401814349195
317,2017-04-14 05:00:00,324,27,106,518.111335,932.3315,940.6315511721434
318,2017-04-14 06:00:00,324,27,106,503.709492,919.1188,912.8283368211627
319,2017-04-14 07:00:00,317,42,106,460.61034700000005,887.5783,895.9076094680071
320,2017-04-14 08:00:00,323,369,104,134.91148000000007,919.772,920.4908497636367
321,2017-04-14 09:00:00,328,1204,106,0.0,946.6892,951.2463188798014
322,2017-04-14 10:00:00,333,2279,106,0.0,967.7775,966.1355856512474
323,2017-04-14 11:00:00,333,3293,105,0.0,995.4109,1000.7331589587044
324,2017-04-14 12:00:00,333,3798,106,0.0,1023.1697,1016.5370278138814
325,2017-04-14 13:00:00,332,4191,103,0.0,1030.2195,1025.1356645262358
326,2017-04-14 14:00:00,332,4613,100,0.0,1050.3764,1045.4291181995677
327,2017-04-14 15:00:00,333,4784,101,0.0,1036.3111,1041.8638052007036
328,2017-04-14 16:00:00,330,4690,102,0.0,1022.8402,1032.5040106276965
329,2017-04-14 17:00:00,328,4336,102,0.0,1014.8088,1024.0070409003865
330,2017-04-14 18:00:00,324,3722,103,0.0,1003.0478,1003.6251328538152
331,2017-04-14 19:00:00,325,2567,100,0.0,1057.3391,1054.8257832636332
332,2017-04-14 20:00:00,332,1223,102,0.0,1131.6091,1131.1752952686556
